name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
렛츠런팜제주,1.0101666666666667,1.0085666666666668,0.46816666666666673,0.46816666666666673,0.46816666666666673,0.46816666666666673,1.1006333333333334,0.46816666666666673,4.7
마라도,0.483274496,0.443,0.9568335680000001,0.48523616,0.443,0.443,0.443,0.471336416,4.2
만장굴,0.6041355489031682,0.6419367109669245,0.6101069333964537,0.7651054073697621,0.7047579670149887,0.6425397886397337,0.6231387165224413,0.6941699513370138,4.1
맥파이브루어리,0.5025,0.5025,0.9914375999999999,0.5025,0.5025,0.5025,0.7386599999999998,0.5025,5.0
메이즈랜드,0.43700000000000006,0.787876688,0.48701672000000007,0.43700000000000006,0.47273100800000006,0.43700000000000006,0.43700000000000006,0.43700000000000006,4.1
민오름,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
믿거나말거나박물관,0.43375,0.5976035500000001,0.44519800000000004,0.48018595000000003,0.43375,0.43375,0.5069834500000001,0.44598235,3.9
박물관은살아있다,0.4780769230769231,0.8690421917159763,0.5885649633136094,0.5989298177514792,0.5060267550295857,0.5319576544378698,0.5042147550295857,0.5241210224852071,4.1
방주교회,0.5009328666666667,0.43500000000000005,0.4873217333333333,0.9059830333333334,0.4514801666666667,0.43500000000000005,0.45145576666666665,0.5582281333333333,4.0
보롬왓,0.4825,0.4825,1.15546,0.4825,0.4825,0.4825,0.4825,0.4825,4.8
본태박물관,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.5762392000000001,0.5245573,0.521656,0.43000000000000005,0.43000000000000005,4.2
불사리탑사,0.41650000000000004,0.41650000000000004,0.41650000000000004,0.59677,0.41650000000000004,0.41650000000000004,0.41650000000000004,1.015945,4.1
비자림,0.5868025837429112,0.5675517776937619,0.5924884536862004,0.62694588657845,0.6266369035916824,0.6623856521739131,0.5864743621928167,0.6662502714555765,4.5
빛의벙커,0.45000000000000007,0.5006700000000001,0.45000000000000007,0.502092,0.4740270000000001,0.548421,0.45000000000000007,0.45000000000000007,4.4
사라봉공원,0.483796,0.41500000000000004,0.41500000000000004,0.41500000000000004,0.41500000000000004,0.41500000000000004,0.41500000000000004,0.4855474,4.0
사려니숲길,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.47500000000000003,4.7
산굼부리분화구,1.3038873386666667,0.5036666666666667,0.5502266666666666,0.6219570986666666,0.5306104106666667,0.6256964906666667,0.5223067946666666,0.6708272426666666,4.3
산방굴사,0.48528925,0.43,0.488419,0.46712275,0.43,0.4673545,0.4484499999999999,0.49063975,4.1
산방산,0.5642724,0.5073727,0.5497134,0.6252799,0.4700000000000001,0.5086239,0.5077636999999999,0.6291347,4.4
산호해수욕장,0.501,0.501,1.2641999999999998,0.501,0.501,0.501,0.501,0.501,5.0
삼무공원,0.377,0.377,0.377,0.377,0.377,0.62015,0.377,0.377,3.8
삼성혈,0.4385621333333333,0.4687834666666666,0.6299141333333332,0.4398687999999999,0.4763695999999999,0.4083333333333333,0.44088426666666664,0.4703925333333333,3.9
삼양검은모래해변,0.4205488,0.4389088,0.4,0.4,0.42125199999999996,0.4,0.4,0.44080240000000004,3.9
새별오름,0.9437036000000001,0.455,0.5408165,0.5122649,0.455,0.455,0.455,0.5409056,4.3
새연교,0.4930037,0.44151695,0.442106,0.469574,0.468737675,0.4940684,0.441496475,0.596722175,3.9
생각하는정원,0.5191820378698224,0.5364611005917159,0.5378100355029585,0.6708319455621301,0.5359183526627218,0.6634429562130177,0.590782444970414,0.7203077041420118,4.4
서우봉,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
선녀와나무꾼박물관,0.42000000000000004,0.5860113,0.44480400000000003,0.469809825,0.42000000000000004,0.443748075,0.42000000000000004,0.47152095000000005,4.0
선운정사,0.36250000000000004,0.36250000000000004,0.36250000000000004,0.36250000000000004,0.36250000000000004,0.36250000000000004,0.36250000000000004,0.36250000000000004,3.6
성산일출봉,0.999690828044709,0.884313532181739,0.9368339452460444,0.92538220746117,0.9087816683988968,0.9390744548120191,0.8931978360865147,0.9794395608070837,4.6
성읍민속마을,0.42704374933333333,0.47861086933333336,0.5717938933333333,0.44534053333333334,0.43591890133333333,0.4402279093333333,0.5339405173333333,0.4656020053333333,3.4
세계조가비박물관,0.5260959999999999,0.46,0.46,1.3615867,0.46,0.5256505,0.6023656000000001,0.9815833,4.5
세계자동차제주박물관,0.43500000000000005,0.64570965,0.43500000000000005,0.43500000000000005,0.50623125,0.43500000000000005,0.47020455000000005,0.43500000000000005,4.2
세화해수욕장,0.534396768,0.534585024,0.629029152,0.5680093439999999,0.477,0.477,0.477,0.5734048319999999,4.5
소인국테마파크,0.36833333333333335,0.6414108,0.3943386666666666,0.39468519999999996,0.36833333333333335,0.39480479999999996,0.36833333333333335,0.39712319999999995,3.5
송악산,0.7106302875000001,0.5282528999999999,0.545529075,0.5466775125000001,0.5654677875,0.6054867,0.49875,0.6590038875,4.6
쇠소깍,0.5817506911999999,0.5965085408,0.6401161184,0.6214414016,0.5677034816,0.6006528128,0.5492805344,0.6859733792,4.2
수월봉,0.7402462499999999,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,0.914244375,4.6
신비의도로,0.47120839424000005,0.5087580646400001,0.49000731391999997,0.5528132480000001,0.48537473792,0.48130298624,0.47532512000000005,0.54622712576,3.4
신창풍차해안도로,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,4.5
신화워터파크,0.4025,0.5181031999999999,0.4025,0.4025,0.4025,0.4025,0.6757255999999999,0.4025,4.0
신화테마파크,0.44000000000000006,0.8784259999999999,0.5985944000000001,0.50255,0.44000000000000006,0.44000000000000006,0.537254,0.5352308,4.2
쌍용굴,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,4.0
아라리오뮤지엄동문모텔,0.47700000000000004,0.29461500000000007,0.47700000000000004,0.47700000000000004,0.47700000000000004,0.47700000000000004,0.47700000000000004,0.47700000000000004,4.8
아라리오뮤지엄탑동바이크샵,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,4.0
아라리오뮤지엄탑동시네마,0.455,0.8088403999999999,0.455,0.6425744,0.455,0.455,0.455,0.455,4.5
아부오름,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,4.0
아침미소목장,0.451,1.18054,2.07541,1.1720799999999998,0.451,0.451,0.451,1.1773,4.5
아쿠아플라넷제주,0.546021118,0.6408191799999999,0.566318926,0.547286662,0.5380936119999999,0.537295672,0.54496873,0.5728134879999999,4.2
약천사,0.5616503111111111,0.5138906666666666,0.528101511111111,0.5992894222222223,0.5140229333333333,0.7208325333333333,0.4929370666666666,0.6282131555555556,4.3
